"Station_Name","Latitude","Longitude","Elevation","P","RH","SR","TM","TX","Ini_Date_P","End_Date_P","Ini_Date_RH","End_Date_RH","Ini_Date_TM","End_Date_TM","Ini_Date_TX","End_Date_TX","Ini_Date_SR","End_Date_SR","Min_Date","Max_Date"
"ChiapasComitán",16.257783,-92.093616,1599,1,1,1,1,1,2015-11-20,2017-12-13,2015-11-20,2017-12-13,2015-11-20,2017-12-13,2015-11-20,2017-12-13,2015-11-20,2017-12-13,"2015-11-20","2017-12-13"
"ChiapasConstitución",16.21080556,-92.38688889,606,1,1,1,1,1,2008-07-01,2013-03-03,2008-07-01,2013-03-03,2008-07-01,2013-03-03,2008-07-01,2013-03-03,2008-07-01,2013-03-03,"2008-07-01","2013-03-03"
"ChiapasElArca",16.30425,-92.47408333,638,1,1,1,1,1,2009-07-24,2013-03-05,2009-07-24,2013-03-05,2009-07-24,2013-03-05,2009-07-24,2013-03-05,2009-07-24,2013-03-05,"2009-07-24","2013-03-05"
"ChiapasElPotrero",17.79791,-91.88634,15,1,1,1,1,1,2013-08-31,2017-12-13,2013-08-31,2017-12-13,2013-08-31,2017-12-13,2013-08-31,2017-12-13,2013-08-31,2017-12-13,"2013-08-31","2017-12-13"
"ChiapasElRecreo",16.33175,-92.40913889,1022,1,1,1,1,1,2008-07-01,2013-03-04,2008-07-01,2013-03-04,2008-07-01,2013-03-04,2008-07-01,2013-03-04,2008-07-01,2013-03-04,"2008-07-01","2013-03-04"
"ChiapasElRetiro",15.07686111,-92.22561111,650,1,1,1,1,1,2007-11-10,2012-10-09,2007-11-10,2012-10-09,2007-11-10,2012-10-09,2007-11-10,2012-10-09,2007-11-10,2012-10-09,"2007-11-10","2012-10-09"
"ChiapasElTintillo",17.75483,-91.94568,21,1,1,1,1,1,2013-08-31,2017-12-13,2013-08-31,2017-12-13,2013-08-31,2017-12-13,2013-08-31,2017-12-13,2013-08-31,2017-12-13,"2013-08-31","2017-12-13"
"ChiapasEmperador",16.03599444,-93.75091667,23,1,1,1,1,1,2013-04-03,2017-03-07,2013-04-03,2017-03-07,2013-04-03,2017-03-07,2013-04-03,2017-03-07,2013-04-03,2017-03-07,"2013-04-03","2017-03-07"
"ChiapasFLORESMAGÓN",15.856673,-93.445413,70,1,1,1,1,1,2015-08-25,2017-12-05,2015-08-25,2017-12-05,2015-08-25,2017-12-05,2015-08-25,2017-12-05,2015-08-25,2017-12-05,"2015-08-25","2017-12-05"
"ChiapasIngenioHuixtla",15.08833,-92.50386,17,1,1,1,1,1,2008-05-09,2015-09-20,2008-05-09,2015-09-20,2008-05-09,2015-09-20,2008-05-09,2015-09-20,2008-05-09,2015-09-20,"2008-05-09","2015-09-20"
"ChiapasLaBorcelana",16.74916667,-93.47444444,751,1,1,1,1,1,2012-03-01,2014-12-15,2012-03-01,2014-12-15,2012-03-01,2014-12-15,2012-03-01,2014-12-15,2012-03-01,2014-12-15,"2012-03-01","2014-12-15"
"ChiapasLACONCORDIA",16.68435,-93.71455,572,1,1,1,1,1,2015-07-09,2017-12-05,2015-07-09,2017-12-05,2015-07-09,2017-12-05,2015-07-09,2017-12-05,2015-07-09,2017-12-05,"2015-07-09","2017-12-05"
"ChiapasLaIlusion",17.53975,-92.21729,113,1,1,1,1,1,2013-09-04,2017-12-14,2013-09-04,2017-12-14,2013-09-04,2017-12-14,2013-09-04,2017-12-14,2013-09-04,2017-12-14,"2013-09-04","2017-12-14"
"ChiapasLaMesa",16.20108333,-92.31388889,635,1,1,1,1,1,2009-03-06,2013-03-05,2009-03-06,2013-03-05,2009-03-06,2013-03-05,2009-03-06,2013-03-05,2009-03-06,2013-03-05,"2009-03-06","2013-03-05"
"ChiapasLaNorteña",14.75988889,-92.38633333,19,1,1,1,1,1,2007-11-07,2015-09-20,2007-11-07,2015-09-20,2007-11-07,2015-09-20,2007-11-07,2015-09-20,2007-11-07,2015-09-20,"2007-11-07","2015-09-20"
"ChiapasLosSergios",16.07277778,-93.79751389,25,1,1,1,1,1,2013-04-03,2017-03-07,2013-04-03,2017-03-07,2013-04-03,2017-03-07,2013-04-03,2017-03-07,2013-04-03,2017-03-07,"2013-04-03","2017-03-07"
"ChiapasRanchoSanJosé",15.12906,-92.58442,14,1,1,1,1,1,2008-05-09,2015-09-20,2008-05-09,2015-09-20,2008-05-09,2015-09-20,2008-05-09,2015-09-20,2008-05-09,2015-09-20,"2008-05-09","2015-09-20"
"ChiapasSANPEDROBUENAVISTA",16.117705,-93.161524,586,1,1,1,1,1,2015-07-08,2017-12-05,2015-07-08,2017-12-05,2015-07-08,2017-12-05,2015-07-08,2017-12-05,2015-07-08,2017-12-05,"2015-07-08","2017-12-05"
"ChiapasSantumpa",17.62591,-91.68415,20,1,1,1,1,1,2013-09-02,2017-12-14,2013-09-02,2017-12-14,2013-09-02,2017-12-14,2013-09-02,2017-12-14,2013-09-02,2017-12-14,"2013-09-02","2017-12-14"
"ChiapasTezuitlan",15.16952778,-92.66080556,16,1,1,1,1,1,2009-03-01,2012-10-09,2009-03-01,2012-10-09,2009-03-01,2012-10-09,2009-03-01,2012-10-09,2009-03-01,2012-10-09,"2009-03-01","2012-10-09"
"ChiapasUmoa2aSección",14.82352778,-92.23130556,88,1,1,0,1,1,2007-11-07,2015-09-20,2007-11-07,2015-09-20,2007-11-07,2015-09-20,2007-11-07,2015-09-20,NA,NA,"2007-11-07","2015-09-20"
"ChiapasYunnuenRanchoAlegre",14.69098333,-92.28751667,16,1,1,0,1,1,2007-11-08,2014-06-30,2007-11-08,2014-06-30,2007-11-08,2014-06-30,2007-11-08,2014-06-30,NA,NA,"2007-11-08","2014-06-30"
